lon_dd,lat_dd,station
-55.55,53.68,L3_01
-55.4366667,53.7966667,L3_02
-55.25,53.9883333,L3_03
-55.0233333,54.22,L3_04
-54.7566667,54.4916667,L3_05
-54.4866667,54.7616667,L3_06
-54.295,54.955,L3_07
-54.1383333,55.1116667,L3_08
-54.06,55.19,L3_08.5
-53.9933333,55.2633333,L3_09
-53.905,55.3416667,L3_9.5
-53.8266667,55.42,L3_10
-53.7291667,55.5158333,L3_10.5
-53.6316667,55.6116667,L3_11
-53.5133333,55.7283333,L3_11.5
-53.3933333,55.845,L3_12
-53.2558333,55.9791667,L3_12.5
-53.1166667,56.1133333,L3_13
-52.8975,56.325,L3_13.5
-52.6783333,56.5366667,L3_14
-52.4575,56.7466667,L3_14.5
-52.2366667,56.9566667,L3_15
-52.0141667,57.1666667,L3_15.5
-51.7916667,57.3766667,L3_16
-51.7916667,57.3766667,L3_16
-51.34,57.8,L3_17
-51.1116667,58.0083333,L3_17.5
-50.8833333,58.2166667,L3_18
-50.65,58.4283333,L3_18.5
-50.4166667,58.64,L3_19
-50.1833333,58.8533333,L3_19.5
-49.95,59.0666667,L3_20
-49.706237,59.285635,L3_20.5
-49.475,59.4833333,L3_21
-49.321256,59.612236,L3_21.5
-49.1666667,59.75,L3_22
-48.9,59.9833333,L3_23
-48.7875,60.0791667,L3_23.5
-48.7875,60.0791667,L3_23.5
-48.675,60.175,L3_24
-48.6083333,60.2333333,L3_24.5
-48.5416667,60.2916667,L3_25
-48.4975,60.3291667,L3_25.5
-48.4533333,60.3666667,L3_26
-48.4075,60.4066667,L3_26.5
-48.3616667,60.4466667,L3_27
-48.295,60.5066667,L3_27.5
-48.2283333,60.5666667,L3_28
-48.16116,60.63419,L3_28.5
